tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary
118+04267,I-35W,NORTHBOUND,I-35 E-W NORTHERN SPLIT,MN,ANOKA,55038,45.18125,-93.10925,45.21848,-93.02922,4.773755,208,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43000,866,1767,1,96,1,96,1,1
118P04267,I-35W,NORTHBOUND,I-35 E-W NORTHERN SPLIT,MN,ANOKA,55038,45.21848,-93.02922,45.22492,-93.02788,0.458009,209,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43000,866,1767,1,100,1,100,1,1
118N04267,I-35W,SOUTHBOUND,I-35 E-W NORTHERN SPLIT,MN,ANOKA,55038,45.22259,-93.0291,45.2192,-93.0301,0.239875,1,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43000,866,1767,1,100,1,100,1,1
118-04266,I-35W,SOUTHBOUND,CR-23/EXIT 36,MN,ANOKA,55038,45.2192,-93.0301,45.18195,-93.10777,4.697185,2,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43000,866,1767,1,94,1,94,1,1
118N04266,I-35W,SOUTHBOUND,CR-23/EXIT 36,MN,ANOKA,55014,45.18195,-93.10777,45.17921,-93.116,0.443209,3,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,43000,866,1767,1,100,1,100,1,1
118-04265,I-35W,SOUTHBOUND,LEXINGTON AVE/CR-17/EXIT 33,MN,ANOKA,55014,45.17921,-93.116,45.16263,-93.1591,2.449439,4,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,48806,881,1593,1,100,1,100,1,1
118N04265,I-35W,SOUTHBOUND,LEXINGTON AVE/CR-17/EXIT 33,MN,ANOKA,55014,45.16263,-93.1591,45.15733,-93.16639,0.510094,5,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,49000,881,1587,1,51,1,51,1,1
118-04264,I-35W,SOUTHBOUND,95TH AVE/CR-52/EXIT 32,MN,ANOKA,55449,45.15733,-93.16639,45.14561,-93.18248,1.126937,6,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,56929,1075,1676,1,100,1,100,1,1
118N04264,I-35W,SOUTHBOUND,95TH AVE/CR-52/EXIT 32,MN,ANOKA,55449,45.14561,-93.18248,45.13977,-93.18754,0.475998,7,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,60745,1169,1719,1,100,1,100,1,1
118-04263,I-35W,SOUTHBOUND,LAKE DR/EXIT 31B,MN,ANOKA,55449,45.13977,-93.18754,45.12811,-93.18871,0.812122,8,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,69000,1371,1811,1,81,1,81,1,1
118N04263,I-35W,SOUTHBOUND,LAKE DR/EXIT 31B,MN,ANOKA,55449,45.12811,-93.18871,45.12431,-93.18867,0.262515,8.5000000000000000,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,4,35,2,1,35W,74205,1499,1869,1,100,1,100,1,1
118-04262,I-35W,SOUTHBOUND,85TH AVE/COUNTY RD J/EXIT 31A,MN,RAMSEY,55449,45.12431,-93.18867,45.12394,-93.18867,0.025560,9,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,90000,1886,2047,1,100,1,100,1,1
118N04262,I-35W,SOUTHBOUND,85TH AVE/COUNTY RD J/EXIT 31A,MN,RAMSEY,55449,45.12394,-93.18867,45.12171,-93.18866,0.154050,10,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,90000,1886,2047,1,100,1,100,1,1
118-04261,I-35W,SOUTHBOUND,US-10/EXIT 30,MN,RAMSEY,55449,45.12171,-93.18866,45.11963,-93.18864,0.143694,11,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,90000,1886,2047,1,100,1,100,1,1
118N04261,I-35W,SOUTHBOUND,US-10/EXIT 30,MN,RAMSEY,55112,45.11963,-93.18864,45.11257,-93.18854,0.487768,12,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,99311,2238,2289,1,100,1,100,1,1
118-04260,I-35W,SOUTHBOUND,COUNTY RD I/EXIT 29,MN,RAMSEY,55112,45.11257,-93.18854,45.10766,-93.18849,0.339225,13,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,136000,3623,3245,1,100,1,100,1,1
118N04260,I-35W,SOUTHBOUND,COUNTY RD I/EXIT 29,MN,RAMSEY,55112,45.10766,-93.18849,45.10402,-93.18847,0.251455,14,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,8,35,2,1,35W,136000,3623,3245,1,100,1,100,1,1
118-04259,I-35W,SOUTHBOUND,COUNTY RD H/EXIT 28C,MN,RAMSEY,55112,45.10402,-93.18847,45.09858,-93.1884,0.375816,15,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,8,35,2,1,35W,136000,3623,3245,1,100,1,100,1,1
118N04259,I-35W,SOUTHBOUND,COUNTY RD H/EXIT 28C,MN,RAMSEY,55112,45.09858,-93.1884,45.09552,-93.18835,0.211403,16,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,8,35,2,1,35W,127463,3622,3150,1,100,1,100,1,1
118-04258,I-35W,SOUTHBOUND,US-10/CR-10/EXIT 28B,MN,RAMSEY,55112,45.09552,-93.18835,45.09288,-93.18835,0.182388,17,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,8,35,2,1,35W,123000,3622,3100,1,100,1,100,1,1
118N04258,I-35W,SOUTHBOUND,US-10/CR-10/EXIT 28B,MN,RAMSEY,55112,45.09288,-93.18835,45.08706,-93.18759,0.404772,18,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,122805,3616,3104,1,100,1,100,1,1
118-04257,I-35W,SOUTHBOUND,CR-96/EXIT 28A,MN,RAMSEY,55112,45.08706,-93.18759,45.08238,-93.1861,0.331732,19,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,110000,3202,3356,1,100,1,100,1,1
118N04257,I-35W,SOUTHBOUND,CR-96/EXIT 28A,MN,RAMSEY,55112,45.08238,-93.1861,45.07608,-93.18552,0.436175,20,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,110000,3202,3356,1,100,1,100,1,1
118-04256,I-35W,SOUTHBOUND,I-694/EXIT 27,MN,RAMSEY,55112,45.07608,-93.18552,45.06996,-93.18588,0.423531,21,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35W,110860,3202,3366,1,100,1,100,1,1
118N04256,I-35W,SOUTHBOUND,I-694/EXIT 27,MN,RAMSEY,55112,45.06996,-93.18588,45.06418,-93.18654,0.400592,22,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35W,112282,3641,3263,1,100,1,100,1,1
118-04255,I-35W,SOUTHBOUND,COUNTY RD E2/EXIT 26,MN,RAMSEY,55112,45.06418,-93.18654,45.06028,-93.18714,0.271080,23,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,113000,3870,3208,1,100,1,100,1,1
118N04255,I-35W,SOUTHBOUND,COUNTY RD E2/EXIT 26,MN,RAMSEY,55112,45.06028,-93.18714,45.05459,-93.18818,0.396335,24,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,112666,3870,3204,1,100,1,100,1,1
118-04254,I-35W,SOUTHBOUND,MN-88/EXIT 25B,MN,RAMSEY,55112,45.05459,-93.18818,45.04304,-93.18942,0.800651,25,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,106646,3609,3140,1,80,1,80,1,1
118N04254,I-35W,SOUTHBOUND,MN-88/EXIT 25B,MN,RAMSEY,55112,45.04304,-93.18942,45.04027,-93.1898,0.192361,26,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,105000,1385,3150,1,100,1,100,1,1
118-04253,I-35W,SOUTHBOUND,COUNTY RD D/EXIT 25A,MN,RAMSEY,55112,45.04027,-93.1898,45.03516,-93.19071,0.355795,27,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,105000,1385,3150,1,100,1,100,1,1
118N04253,I-35W,SOUTHBOUND,COUNTY RD D/EXIT 25A,MN,RAMSEY,55113,45.03516,-93.19071,45.03226,-93.19115,0.201567,28,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,108108,2173,3185,1,100,1,100,1,1
118-04252,I-35W,SOUTHBOUND,CLEVELAND AVE/COUNTY RD C/EXIT 24,MN,RAMSEY,55113,45.03226,-93.19115,45.02477,-93.19077,0.518319,29,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,112000,3160,3228,1,52,1,52,1,1
118N04252,I-35W,SOUTHBOUND,CLEVELAND AVE/COUNTY RD C/EXIT 24,MN,RAMSEY,55113,45.02477,-93.19077,45.02125,-93.1897,0.248779,30,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,112000,3160,3228,1,100,1,100,1,1
118-04251,I-35W,SOUTHBOUND,MN-36/MN-280/EXIT 23,MN,RAMSEY,55113,45.02125,-93.1897,45.01482,-93.18773,0.455192,31,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,117214,3238,2812,1,100,1,100,1,1
118N04251,I-35W,SOUTHBOUND,MN-36/MN-280/EXIT 23,MN,RAMSEY,55113,45.01482,-93.18773,45.00805,-93.2043,1.092451,32,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,145387,3486,2086,1,100,1,100,1,1
118-04250,I-35W,SOUTHBOUND,INDUSTRIAL BLVD/EXIT 22,MN,RAMSEY,55113,45.00805,-93.2043,45.00614,-93.20778,0.216327,33,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,116000,2766,1757,1,100,1,100,1,1
118N04250,I-35W,SOUTHBOUND,INDUSTRIAL BLVD/EXIT 22,MN,HENNEPIN,55413,45.00614,-93.20778,45.00202,-93.21747,0.552312,34,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,115030,2742,1746,1,55,1,55,1,1
118-04249,I-35W,SOUTHBOUND,CR-27/STINSON BLVD/EXIT 21A,MN,HENNEPIN,55413,45.00202,-93.21747,45.0011,-93.22074,0.172883,35,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,115000,2741,1746,1,100,1,100,1,1
118-04248,I-35W,SOUTHBOUND,JOHNSON ST/EXIT 21B,MN,HENNEPIN,55413,45.00225,-93.23516,45.00105,-93.23687,0.119281,36,America/Chicago,P1.3,USA,78,2,N,1,57628,2,1,6,35,2,1,35W,99000,2349,1566,1,100,1,100,1,1
118N04249,I-35W,SOUTHBOUND,CR-27/STINSON BLVD/EXIT 21A,MN,HENNEPIN,55413,45.0011,-93.22074,45.00225,-93.23516,0.729822,36.001,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,100713,2391,1585,1,73,1,73,1,1
118N04248,I-35W,SOUTHBOUND,JOHNSON ST/EXIT 21B,MN,HENNEPIN,55413,45.00105,-93.23687,45.00055,-93.23723,0.038771,36.001,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,99000,2349,1566,1,100,1,100,1,1
118-04247,I-35W,SOUTHBOUND,CR-88/NEW BRIGHTON BLV/EXIT 21A,MN,HENNEPIN,55413,45.00055,-93.23723,44.99481,-93.23862,0.407637,37,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,108201,2574,1669,1,100,1,100,1,1
118N04247,I-35W,SOUTHBOUND,CR-88/NEW BRIGHTON BLV/EXIT 21A,MN,HENNEPIN,55413,44.99481,-93.23862,44.99319,-93.23795,0.117264,37.001,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,133000,3182,1947,1,100,1,100,1,1
118-04246,I-35W,SOUTHBOUND,HENNEPIN AVE/EXIT 19,MN,HENNEPIN,55413,44.99319,-93.23795,44.99156,-93.23665,0.129842,38,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,133000,3182,1947,1,100,1,100,1,1
118N04246,I-35W,SOUTHBOUND,HENNEPIN AVE/EXIT 19,MN,HENNEPIN,55413,44.99156,-93.23665,44.98843,-93.23687,0.220528,39,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,133000,3182,1947,1,100,1,100,1,1
118-04245,I-35W,SOUTHBOUND,4TH ST/UNIVERSITY AVE/EXIT 18,MN,HENNEPIN,55414,44.98843,-93.23687,44.98575,-93.2408,0.268461,40,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,116470,2777,1762,1,100,1,100,1,1
118N04245,I-35W,SOUTHBOUND,4TH ST/UNIVERSITY AVE/EXIT 18,MN,HENNEPIN,55414,44.98575,-93.2408,44.98056,-93.24455,0.404609,41,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,117448,2801,1773,1,100,1,100,1,1
118-04244,I-35W,SOUTHBOUND,WASHINGTON AVE/EXIT 17C,MN,HENNEPIN,55414,44.98056,-93.24455,44.97626,-93.24667,0.316228,42,America/Chicago,P1.3,USA,78,2,N,1,57628,2,1,8,35,2,1,35W,168000,4040,2339,1,100,1,100,1,1
118N04244,I-35W,SOUTHBOUND,WASHINGTON AVE/EXIT 17C,MN,HENNEPIN,55454,44.97626,-93.24667,44.97409,-93.24944,0.202166,42.5000000000000000,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,156600,3761,2211,1,100,1,100,1,1
118-04243,I-35W,SOUTHBOUND,I-94/11TH AVE/EXIT 17B,MN,HENNEPIN,55454,44.97409,-93.24944,44.97391,-93.24967,0.016762,43,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,142000,3403,2048,1,100,1,100,1,1
118N04243,I-35W,SOUTHBOUND,I-94/11TH AVE/EXIT 17B,MN,HENNEPIN,55454,44.97391,-93.24967,44.97219,-93.25133,0.143971,43.001,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,142000,3403,2048,1,100,1,100,1,1
118-04242,I-35W,SOUTHBOUND,MN-55/HIAWATHA AVE/EXIT 17A,MN,HENNEPIN,55454,44.97219,-93.25133,44.97097,-93.25229,0.096469,44,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,142000,3403,2048,1,100,1,100,1,1
118N04242,I-35W,SOUTHBOUND,MN-55/HIAWATHA AVE/EXIT 17A,MN,HENNEPIN,55454,44.97097,-93.25229,44.97038,-93.2527,0.045438,44.001,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,142000,3403,2048,1,100,1,100,1,1
118-04241,I-35W,SOUTHBOUND,MN-122/3RD ST/EXIT 17C,MN,HENNEPIN,55454,44.97038,-93.2527,44.96996,-93.25296,0.031674,45,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,142000,3403,2048,1,100,1,100,1,1
118N04241,I-35W,SOUTHBOUND,MN-122/3RD ST/EXIT 17C,MN,HENNEPIN,55454,44.96996,-93.25296,44.96669,-93.25461,0.242008,45.5000000000000000,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,4,35,2,1,35W,127974,3059,1891,1,100,1,100,1,1
118-04240,I-35W,SOUTHBOUND,I-94/EXIT 16B,MN,HENNEPIN,55454,44.96669,-93.25461,44.96644,-93.25502,0.026454,46,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,124000,2962,1846,1,100,1,100,1,1
118N04240,I-35W,SOUTHBOUND,I-94/EXIT 16B,MN,HENNEPIN,55454,44.96644,-93.25502,44.96586,-93.25728,0.119716,46.001,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,124000,2962,1846,1,100,1,100,1,1
118-04239,I-35W,SOUTHBOUND,I-94,MN,HENNEPIN,55404,44.96586,-93.25728,44.96584,-93.25999,0.132476,47,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,124000,2962,1846,1,100,1,100,1,1
118N04239,I-35W,SOUTHBOUND,I-94,MN,HENNEPIN,55404,44.96584,-93.25999,44.96583,-93.26254,0.124638,48,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,124000,2962,1846,1,100,1,100,1,1
118-04238,I-35W,SOUTHBOUND,5TH AVE,MN,HENNEPIN,55404,44.96583,-93.26254,44.96581,-93.26569,0.153977,49,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,4,35,2,1,35W,124000,2962,1846,1,100,1,100,1,1
118N04238,I-35W,SOUTHBOUND,5TH AVE,MN,HENNEPIN,55404,44.96581,-93.26569,44.96397,-93.26937,0.261416,50,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,4,35,2,1,35W,105120,2499,1635,1,100,1,100,1,1
118-04237,I-35W,SOUTHBOUND,I-94/MN-65/EXIT 16A,MN,HENNEPIN,55404,44.96397,-93.26937,44.95926,-93.26957,0.326193,51,America/Chicago,P1.1,USA,78,2,N,2,57628,2,,6,65,4,1,65,83000,2075,726,1,100,0,100,0,1
118N04237,I-35W,SOUTHBOUND,I-94/MN-65/EXIT 16A,MN,HENNEPIN,55404,44.95926,-93.26957,44.95611,-93.27015,0.220854,52,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,10,35,2,1,35W,187000,4169,3342,1,100,1,100,1,1
118-04236,I-35W,SOUTHBOUND,31ST ST/EXIT 15,MN,HENNEPIN,55408,44.95611,-93.27015,44.94666,-93.27489,0.710007,53,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,187000,4169,3342,1,71,1,71,1,1
118N04236,I-35W,SOUTHBOUND,31ST ST/EXIT 15,MN,HENNEPIN,55408,44.94666,-93.27489,44.94409,-93.27486,0.177544,54,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,187000,4169,3342,1,100,1,100,1,1
118-04235,I-35W,SOUTHBOUND,35TH ST/36TH ST/EXIT 14,MN,HENNEPIN,55408,44.94409,-93.27486,44.94296,-93.27486,0.078067,55,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,216000,4879,3667,1,100,1,100,1,1
118N04235,I-35W,SOUTHBOUND,35TH ST/36TH ST/EXIT 14,MN,HENNEPIN,55408,44.94296,-93.27486,44.93432,-93.27479,0.596864,56,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,204754,4603,3540,1,60,1,60,1,1
118-04234,I-35W,SOUTHBOUND,46TH ST/EXIT 13,MN,HENNEPIN,55409,44.93432,-93.27479,44.92512,-93.27489,0.635604,57,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,204000,4585,3532,1,64,1,64,1,1
118N04234,I-35W,SOUTHBOUND,46TH ST/EXIT 13,MN,HENNEPIN,55419,44.92512,-93.27489,44.91435,-93.27503,0.744130,58,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,195247,4371,3434,1,74,1,74,1,1
118-04233,I-35W,SOUTHBOUND,DIAMOND LAKE RD/EXIT 12B,MN,HENNEPIN,55419,44.91435,-93.27503,44.90736,-93.27504,0.482893,59,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,193000,4316,3409,1,100,1,100,1,1
118N04233,I-35W,SOUTHBOUND,DIAMOND LAKE RD/EXIT 12B,MN,HENNEPIN,55419,44.90736,-93.27504,44.89907,-93.27502,0.572786,60,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,10,35,2,1,35W,179197,3978,3255,1,57,1,57,1,1
118-04232,I-35W,SOUTHBOUND,60TH ST/EXIT 12A,MN,HENNEPIN,55419,44.89907,-93.27502,44.8969,-93.27506,0.149923,61,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,12,35,2,1,35W,177000,3924,3230,1,100,1,100,1,1
118N04232,I-35W,SOUTHBOUND,60TH ST/EXIT 12A,MN,HENNEPIN,55419,44.8969,-93.27506,44.89426,-93.27514,0.182419,62,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,12,35,2,1,35W,177000,3924,3230,1,100,1,100,1,1
118-04231,I-35W,SOUTHBOUND,MN-62/EXIT 11B,MN,HENNEPIN,55419,44.89426,-93.27514,44.89376,-93.27515,0.034545,63,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,12,35,2,1,35W,177000,3924,3230,1,100,1,100,1,1
118N04231,I-35W,SOUTHBOUND,MN-62/EXIT 11B,MN,HENNEPIN,55419,44.89376,-93.27515,44.89023,-93.2799,0.384081,64,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,112090,2333,2503,1,100,1,100,1,1
118-04230,I-35W,SOUTHBOUND,LYNDALE AVE/EXIT 11A,MN,HENNEPIN,55423,44.89023,-93.2799,44.89026,-93.28325,0.163969,65,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,104000,2135,2412,1,100,1,100,1,1
118N04230,I-35W,SOUTHBOUND,LYNDALE AVE/EXIT 11A,MN,HENNEPIN,55423,44.89026,-93.28325,44.89029,-93.28761,0.213405,66,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,8,35,2,1,35W,104000,2135,2412,1,100,1,100,1,1
118-04229,I-35W,SOUTHBOUND,I-35/MN-62/EXIT 11,MN,HENNEPIN,55423,44.89029,-93.28761,44.89029,-93.28835,0.036216,67,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,8,35,2,1,35W,104000,2135,2412,1,100,1,100,1,1
118N04229,I-35W,SOUTHBOUND,I-35/MN-62/EXIT 11,MN,HENNEPIN,55423,44.89029,-93.28835,44.88715,-93.29623,0.508043,68,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,87338,1792,1986,1,51,1,51,1,1
118-04228,I-35W,SOUTHBOUND,CR-53/66TH ST/EXIT 10,MN,HENNEPIN,55423,44.88715,-93.29623,44.88629,-93.29622,0.059413,69,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,86000,1765,1952,1,100,1,100,1,1
118N04228,I-35W,SOUTHBOUND,CR-53/66TH ST/EXIT 10,MN,HENNEPIN,55423,44.88629,-93.29622,44.87938,-93.29696,0.483237,70,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,107857,2300,2197,1,100,1,100,1,1
118-04227,I-35W,SOUTHBOUND,76TH ST/EXIT 9C,MN,HENNEPIN,55423,44.87938,-93.29696,44.86871,-93.29913,0.750286,71,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,112000,2402,2243,1,75,1,75,1,1
118N04227,I-35W,SOUTHBOUND,76TH ST/EXIT 9C,MN,HENNEPIN,55423,44.86871,-93.29913,44.86555,-93.29896,0.218542,72,America/Chicago,P1.3,USA,78,2,N,1,57628,2,,6,35,2,1,35W,112000,2402,2243,1,100,1,100,1,1
118-04226,I-35W,SOUTHBOUND,I-494/MN-5/EXIT 9,MN,HENNEPIN,55423,44.86555,-93.29896,44.86446,-93.29883,0.075568,73,America/Chicago,P1.1,USA,78,2,N,1,57628,2,,6,35,2,1,35W,112000,2402,2243,1,100,1,100,1,1
118N04226,I-35W,SOUTHBOUND,I-494/MN-5/EXIT 9,MN,HENNEPIN,55420,44.86446,-93.29883,44.85918,-93.29825,0.365873,74,America/Chicago,P1.1,USA,78,1,N,1,57628,2,,6,35,2,1,35W,115715,2706,2806,1,100,1,100,1,1
118-04225,I-35W,SOUTHBOUND,82ND ST/EXIT 8,MN,HENNEPIN,55420,44.85918,-93.29825,44.85758,-93.2982,0.110565,75,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,118000,2893,3153,1,100,1,100,1,1
118N04225,I-35W,SOUTHBOUND,82ND ST/EXIT 8,MN,HENNEPIN,55420,44.85758,-93.2982,44.85319,-93.29821,0.303267,76,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,120882,2964,3186,1,100,1,100,1,1
118-04224,I-35W,SOUTHBOUND,90TH ST/EXIT 7B,MN,HENNEPIN,55420,44.85319,-93.29821,44.84391,-93.29834,0.641099,77,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,121000,2967,3187,1,64,1,64,1,1
118N04224,I-35W,SOUTHBOUND,90TH ST/EXIT 7B,MN,HENNEPIN,55420,44.84391,-93.29834,44.83852,-93.29802,0.373739,78,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,115556,2833,3126,1,100,1,100,1,1
118-04223,I-35W,SOUTHBOUND,94TH ST/EXIT 7A,MN,HENNEPIN,55420,44.83852,-93.29802,44.83642,-93.29692,0.155002,79,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,114000,2795,3108,1,100,1,100,1,1
118N04223,I-35W,SOUTHBOUND,94TH ST/EXIT 7A,MN,HENNEPIN,55420,44.83642,-93.29692,44.83079,-93.29341,0.425239,80,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,108085,2650,3042,1,100,1,100,1,1
118-04222,I-35W,SOUTHBOUND,CR-1/98TH ST/EXIT 6,MN,HENNEPIN,55420,44.83079,-93.29341,44.82909,-93.29247,0.126166,81,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,106000,2599,3019,1,100,1,100,1,1
118N04222,I-35W,SOUTHBOUND,CR-1/98TH ST/EXIT 6,MN,HENNEPIN,55420,44.82909,-93.29247,44.8228,-93.29148,0.439072,82,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,105064,2577,3008,1,100,1,100,1,1
118-04221,I-35W,SOUTHBOUND,106TH ST/EXIT 5,MN,HENNEPIN,55420,44.8228,-93.29148,44.8144,-93.2915,0.580275,83,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,105000,2575,3007,1,58,1,58,1,1
118N04221,I-35W,SOUTHBOUND,106TH ST/EXIT 5,MN,HENNEPIN,55420,44.8144,-93.2915,44.80963,-93.29151,0.329513,84,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,106073,2601,3019,1,100,1,100,1,1
118-04220,I-35W,SOUTHBOUND,BLACK DOG RD/EXIT 4B,MN,HENNEPIN,55420,44.80963,-93.29151,44.79777,-93.28947,0.826140,85,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,116782,2864,3139,1,83,1,83,1,1
118N04220,I-35W,SOUTHBOUND,BLACK DOG RD/EXIT 4B,MN,DAKOTA,55337,44.79777,-93.28947,44.7958,-93.28911,0.137245,86,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,115000,2820,3119,1,100,1,100,1,1
118-04219,I-35W,SOUTHBOUND,CLIFF RD/EXIT 4A,MN,DAKOTA,55337,44.7958,-93.28911,44.7851,-93.28867,0.739505,87,America/Chicago,P1.3,USA,78,1,N,1,57628,2,,6,35,2,1,35W,115000,2820,3119,1,74,1,74,1,1
